,markov_state,markov_gs,state_gs
centroid_mean,9.68084185457663e-29,2.9133216379026814e-20,4.35680853683535e-92
centroid_std,2.3268164031012144e-46,0.011958664450799138,3.882201148388354e-32
centroid_skewness,1.8575548336807043e-14,2.7703796574185642e-33,1.959660501582438e-90
flatness_mean,2.0400014275433792e-29,9.653525799127133e-15,1.4563225599247218e-80
flatness_std,1.5973934550257976e-32,0.8987731194401637,5.154583580675381e-33
flatness_skewness,1.6908698490648473e-19,4.402861734207677e-12,3.968249271915062e-60
flux_mean,1.7467842860028342e-08,3.0247023420903636e-22,4.960206849749006e-05
flux_std,5.7407527135079746e-24,0.000719060368370766,1.805158944495117e-11
flux_skewness,5.0146879455780826e-21,2.2827994959659455e-24,9.362872019911492e-90
